id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_wisatawan,jumlah_pengunjung,satuan,tahun
112,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NUSANTARA,100,ORANG,2016
113,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MANCANEGARA,0,ORANG,2016
114,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NUSANTARA,0,ORANG,2016
115,32,JAWA BARAT,3205,KABUPATEN GARUT,MANCANEGARA,0,ORANG,2016
116,32,JAWA BARAT,3205,KABUPATEN GARUT,NUSANTARA,43000,ORANG,2016
117,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MANCANEGARA,0,ORANG,2016
118,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NUSANTARA,0,ORANG,2016
119,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MANCANEGARA,0,ORANG,2016
120,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NUSANTARA,67,ORANG,2016
121,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MANCANEGARA,0,ORANG,2016
122,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NUSANTARA,0,ORANG,2016
123,32,JAWA BARAT,3209,KABUPATEN CIREBON,MANCANEGARA,0,ORANG,2016
124,32,JAWA BARAT,3209,KABUPATEN CIREBON,NUSANTARA,0,ORANG,2016
125,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MANCANEGARA,2,ORANG,2016
126,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NUSANTARA,120266,ORANG,2016
127,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MANCANEGARA,0,ORANG,2016
128,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NUSANTARA,0,ORANG,2016
129,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MANCANEGARA,0,ORANG,2016
130,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NUSANTARA,0,ORANG,2016
131,32,JAWA BARAT,3213,KABUPATEN SUBANG,MANCANEGARA,21,ORANG,2016
132,32,JAWA BARAT,3213,KABUPATEN SUBANG,NUSANTARA,1455789,ORANG,2016
133,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MANCANEGARA,100,ORANG,2016
134,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NUSANTARA,43700,ORANG,2016
135,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MANCANEGARA,0,ORANG,2016
136,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NUSANTARA,150000,ORANG,2016
137,32,JAWA BARAT,3216,KABUPATEN BEKASI,MANCANEGARA,0,ORANG,2016
138,32,JAWA BARAT,3216,KABUPATEN BEKASI,NUSANTARA,0,ORANG,2016
139,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MANCANEGARA,1,ORANG,2016
140,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NUSANTARA,28231,ORANG,2016
141,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MANCANEGARA,0,ORANG,2016
142,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NUSANTARA,0,ORANG,2016
143,32,JAWA BARAT,3271,KOTA BOGOR,MANCANEGARA,1690,ORANG,2016
144,32,JAWA BARAT,3271,KOTA BOGOR,NUSANTARA,43067,ORANG,2016
145,32,JAWA BARAT,3272,KOTA SUKABUMI,MANCANEGARA,0,ORANG,2016
146,32,JAWA BARAT,3272,KOTA SUKABUMI,NUSANTARA,0,ORANG,2016
147,32,JAWA BARAT,3273,KOTA BANDUNG,MANCANEGARA,0,ORANG,2016
148,32,JAWA BARAT,3273,KOTA BANDUNG,NUSANTARA,0,ORANG,2016
149,32,JAWA BARAT,3274,KOTA CIREBON,MANCANEGARA,0,ORANG,2016
150,32,JAWA BARAT,3274,KOTA CIREBON,NUSANTARA,0,ORANG,2016
151,32,JAWA BARAT,3275,KOTA BEKASI,MANCANEGARA,0,ORANG,2016
