id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,sektor_wisata,jumlah_pendapatan,satuan,tahun
85,32,JAWA BARAT,3275,KOTA BEKASI,HOTEL,2964590904,RUPIAH,2014
86,32,JAWA BARAT,3275,KOTA BEKASI,RESTORAN/RUMAH MAKAN,10267419208,RUPIAH,2014
87,32,JAWA BARAT,3275,KOTA BEKASI,HIBURAN,3402206244,RUPIAH,2014
88,32,JAWA BARAT,3275,KOTA BEKASI,RETRIBUSI,55250000,RUPIAH,2014
89,32,JAWA BARAT,3276,KOTA DEPOK,HOTEL,1658480431,RUPIAH,2014
90,32,JAWA BARAT,3276,KOTA DEPOK,RESTORAN/RUMAH MAKAN,18746255011,RUPIAH,2014
91,32,JAWA BARAT,3276,KOTA DEPOK,HIBURAN,2464074076,RUPIAH,2014
92,32,JAWA BARAT,3276,KOTA DEPOK,RETRIBUSI,83125111,RUPIAH,2014
93,32,JAWA BARAT,3277,KOTA CIMAHI,HOTEL,49850000,RUPIAH,2014
94,32,JAWA BARAT,3277,KOTA CIMAHI,RESTORAN/RUMAH MAKAN,2314031334,RUPIAH,2014
95,32,JAWA BARAT,3277,KOTA CIMAHI,HIBURAN,68801500,RUPIAH,2014
96,32,JAWA BARAT,3277,KOTA CIMAHI,RETRIBUSI,35052000,RUPIAH,2014
97,32,JAWA BARAT,3278,KOTA TASIKMALAYA,HOTEL,212246553,RUPIAH,2014
98,32,JAWA BARAT,3278,KOTA TASIKMALAYA,RESTORAN/RUMAH MAKAN,396043510,RUPIAH,2014
99,32,JAWA BARAT,3278,KOTA TASIKMALAYA,HIBURAN,14168376,RUPIAH,2014
100,32,JAWA BARAT,3278,KOTA TASIKMALAYA,RETRIBUSI,12537000,RUPIAH,2014
101,32,JAWA BARAT,3279,KOTA BANJAR,HOTEL,356512600,RUPIAH,2014
102,32,JAWA BARAT,3279,KOTA BANJAR,RESTORAN/RUMAH MAKAN,2033850186,RUPIAH,2014
103,32,JAWA BARAT,3279,KOTA BANJAR,HIBURAN,55336752,RUPIAH,2014
104,32,JAWA BARAT,3279,KOTA BANJAR,RETRIBUSI,993961250,RUPIAH,2014
105,32,JAWA BARAT,3201,KABUPATEN BOGOR,HOTEL,0,RUPIAH,2015
106,32,JAWA BARAT,3201,KABUPATEN BOGOR,RESTORAN/RUMAH MAKAN,27946638075,RUPIAH,2015
107,32,JAWA BARAT,3201,KABUPATEN BOGOR,HIBURAN,7077430815,RUPIAH,2015
108,32,JAWA BARAT,3201,KABUPATEN BOGOR,RETRIBUSI,485255100,RUPIAH,2015
109,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,HOTEL,0,RUPIAH,2015
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RESTORAN/RUMAH MAKAN,0,RUPIAH,2015
111,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,HIBURAN,0,RUPIAH,2015
112,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RETRIBUSI,1108916000,RUPIAH,2015
113,32,JAWA BARAT,3203,KABUPATEN CIANJUR,HOTEL,4337767572,RUPIAH,2015
114,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RESTORAN/RUMAH MAKAN,2490761962,RUPIAH,2015
115,32,JAWA BARAT,3203,KABUPATEN CIANJUR,HIBURAN,710547080,RUPIAH,2015
116,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RETRIBUSI,1665761000,RUPIAH,2015
117,32,JAWA BARAT,3204,KABUPATEN BANDUNG,HOTEL,2311227053,RUPIAH,2015
118,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RESTORAN/RUMAH MAKAN,6894597594,RUPIAH,2015
119,32,JAWA BARAT,3204,KABUPATEN BANDUNG,HIBURAN,706313905,RUPIAH,2015
120,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RETRIBUSI,0,RUPIAH,2015
121,32,JAWA BARAT,3205,KABUPATEN GARUT,HOTEL,1446990400,RUPIAH,2015
122,32,JAWA BARAT,3205,KABUPATEN GARUT,RESTORAN/RUMAH MAKAN,0,RUPIAH,2015
123,32,JAWA BARAT,3205,KABUPATEN GARUT,HIBURAN,0,RUPIAH,2015
124,32,JAWA BARAT,3205,KABUPATEN GARUT,RETRIBUSI,331986000,RUPIAH,2015
125,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,HOTEL,25824000,RUPIAH,2015
126,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RESTORAN/RUMAH MAKAN,171997090,RUPIAH,2015
127,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,HIBURAN,7084585,RUPIAH,2015
128,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RETRIBUSI,137189000,RUPIAH,2015
129,32,JAWA BARAT,3207,KABUPATEN CIAMIS,HOTEL,1660176980,RUPIAH,2015
130,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RESTORAN/RUMAH MAKAN,1355072308,RUPIAH,2015
131,32,JAWA BARAT,3207,KABUPATEN CIAMIS,HIBURAN,257274631,RUPIAH,2015
132,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RETRIBUSI,3949194450,RUPIAH,2015
133,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,HOTEL,2279517632,RUPIAH,2015
134,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RESTORAN/RUMAH MAKAN,2379321635,RUPIAH,2015
135,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,HIBURAN,501129332,RUPIAH,2015
136,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RETRIBUSI,420533450,RUPIAH,2015
137,32,JAWA BARAT,3209,KABUPATEN CIREBON,HOTEL,826000000,RUPIAH,2015
